,active_1.0,addresscat_2.0,addresscat_3.0,addresscat_4.0,addresscat_5.0,agecat_3.0,agecat_4.0,agecat_5.0,agecat_6.0,bfast_2.0,bfast_3.0,birthmonth_August,birthmonth_December,birthmonth_February,birthmonth_January,birthmonth_July,birthmonth_June,birthmonth_March,birthmonth_May,birthmonth_November,birthmonth_October,birthmonth_September,callcard_1.0,callid_1.0,callwait_1.0,carbought_0.0,carbought_1.0,carbuy_1.0,carcatvalue_1.0,carcatvalue_2.0,carcatvalue_3.0,card2_2.0,card2_3.0,card2_4.0,card2_5.0,card2benefit_2.0,card2benefit_3.0,card2benefit_4.0,card2fee_1.0,card2spent,card2tenurecat_2.0,card2tenurecat_3.0,card2tenurecat_4.0,card2tenurecat_5.0,card2type_2.0,card2type_3.0,card2type_4.0,card_2.0,card_3.0,card_4.0,card_5.0,cardbenefit_2.0,cardbenefit_3.0,cardbenefit_4.0,cardfee_1.0,cardmon,cardspent,cardten,cardtype_2.0,cardtype_3.0,cardtype_4.0,carown_0.0,carown_1.0,cars_1.0,cars_2.0,cars_3.0,cars_4.0,cars_5.0,cars_6.0,cartype_0.0,cartype_1.0,carvalue,churn_1.0,commutebike_1.0,commutebus_1.0,commutecar_1.0,commutecarpool_1.0,commutecat_2.0,commutecat_3.0,commutecat_4.0,commutecat_5.0,commutemotorcycle_1.0,commutenonmotor_1.0,commutepublic_1.0,commuterail_1.0,commutetime,commutewalk_1.0,confer_1.0,debtinc,default_1.0,ebill_1.0,edcat_2.0,edcat_3.0,edcat_4.0,edcat_5.0,empcat_2.0,empcat_3.0,empcat_4.0,empcat_5.0,employ,equip_1.0,equipten,forward_1.0,gender_1.0,homeown_1.0,hometype_2.0,hometype_3.0,hometype_4.0,hourstv,inccat_2.0,inccat_3.0,inccat_4.0,inccat_5.0,income,internet_1.0,internet_2.0,internet_3.0,internet_4.0,jobcat_2.0,jobcat_3.0,jobcat_4.0,jobcat_5.0,jobcat_6.0,jobsat_2.0,jobsat_3.0,jobsat_4.0,jobsat_5.0,lnlongmon,lnothdebt,longmon,multline_1.0,news_1.0,othdebt,owncd_1.0,owndvd_1.0,ownfax_1.0,owngame_1.0,ownipod_1.0,ownpc_1.0,ownpda_1.0,owntv_1.0,ownvcr_1.0,pager_1.0,pets,pets_birds_1.0,pets_birds_2.0,pets_birds_3.0,pets_birds_4.0,pets_cats_1.0,pets_cats_2.0,pets_cats_3.0,pets_cats_4.0,pets_dogs_1.0,pets_dogs_2.0,pets_dogs_3.0,pets_dogs_4.0,pets_freshfish_1.0,pets_freshfish_10.0,pets_freshfish_11.0,pets_freshfish_12.0,pets_freshfish_2.0,pets_freshfish_3.0,pets_freshfish_4.0,pets_freshfish_5.0,pets_freshfish_6.0,pets_freshfish_7.0,pets_freshfish_8.0,pets_freshfish_9.0,pets_reptiles_1.0,pets_reptiles_2.0,pets_reptiles_3.0,pets_small_1.0,pets_small_2.0,pets_small_3.0,pets_small_4.0,polcontrib_1.0,polparty_1.0,polview_2.0,polview_3.0,polview_4.0,polview_5.0,polview_6.0,polview_7.0,reason_2.0,reason_3.0,reason_4.0,reason_9.0,region_2.0,region_3.0,region_4.0,region_5.0,reside_2.0,reside_3.0,reside_4.0,reside_5.0,reside_6.0,reside_7.0,response_01_1.0,response_02_1.0,response_03_1.0,retire_1.0,spousedcat_1.0,spousedcat_2.0,spousedcat_3.0,spousedcat_4.0,spousedcat_5.0,telecommute_1.0,tollfree_1.0,tollmon,tollten,townsize_2.0,townsize_3.0,townsize_4.0,townsize_5.0,union_1.0,voice_1.0,vote_1.0,wireless_1.0,wiremon,wireten
10,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,322.07,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,19.0,488.97,930.0,0,1,0,0,1,0,0,1,0,0,0,1,0,28.0,1,0,1,1,0,0,0,0,0,0,0,0,0,17.0,0,0,8.6,0,1,0,0,1,0,0,1,0,0,8.0,1,1568.35,0,1,0,1,0,0,26.0,1,0,0,0,47.0,0,0,1,0,0,0,0,0,0,0,1,0,0,2.15,0.99,8.55,1,0,2.68,1,1,0,0,1,1,0,1,1,0,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0.0
11,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,55.17,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,338.26,0.0,1,0,0,0,1,0,1,0,0,0,0,0,1,9.3,1,0,1,1,0,0,1,0,0,0,0,0,0,28.0,1,0,0.9,0,0,0,0,0,0,1,0,0,0,4.0,0,0.0,0,1,0,1,0,0,27.0,0,0,0,0,19.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1.28,-2.17,3.6,0,0,0.11,1,1,0,0,0,0,0,1,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0.0,0.0
12,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,198.39,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,7.0,534.36,30.0,0,0,1,0,1,1,0,0,0,0,0,0,1,38.5,0,0,0,1,0,0,0,0,0,0,0,0,0,25.0,0,1,2.8,0,0,0,0,0,0,0,0,1,0,12.0,0,0.0,1,0,1,0,1,0,21.0,0,1,0,0,73.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.91,-0.23,6.75,0,0,0.79,1,0,0,0,0,1,0,1,1,0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,1,0,0.0,0.0
13,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,384.94,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,24.5,593.5,1415.0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,0,1,0,1,1,0,0,0,0,0,0,0,16.0,0,1,10.5,0,0,0,0,1,0,1,0,0,0,3.0,0,0.0,1,0,1,0,0,1,21.0,0,1,0,0,63.0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.49,1.55,12.1,1,1,4.69,1,1,0,0,0,1,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.75,1776.7,1,0,0,0,0,0,1,0,0.0,0.0
14,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,39.93,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,23.25,233.17,1525.0,1,0,0,0,1,1,0,0,0,0,0,0,1,9.3,0,0,1,0,0,0,0,0,1,0,0,0,0,32.0,0,0,9.8,0,1,0,0,0,1,0,0,0,1,27.0,1,2580.75,1,1,1,0,0,0,24.0,0,0,0,0,17.0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.63,-0.94,13.9,1,1,0.39,1,1,1,1,0,1,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0.0,0.0,0,0,0,0,1,0,1,0,0.0,0.0
15,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,98.65,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,64.25,297.47,4011.19999999999,0,1,0,0,1,0,0,1,0,0,0,1,0,11.6,0,0,0,1,0,0,0,0,0,0,0,0,1,14.0,1,1,9.3,0,0,1,0,0,0,0,0,0,1,31.0,0,0.0,1,1,0,1,0,0,22.0,0,0,0,0,23.0,1,0,0,0,0,0,0,0,1,0,0,0,1,3.66,0.19,38.7,1,1,1.2,1,1,1,0,0,1,0,1,1,1,9.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,27.0,1919.0,0,0,0,0,1,1,1,1,43.25,3159.25
16,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,96.23,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,29.25,305.94,1315.0,0,0,0,0,1,0,1,0,0,0,0,0,1,75.8,0,0,0,1,0,0,0,0,0,1,0,0,0,19.0,0,1,9.5,0,1,0,0,1,0,0,0,0,1,24.0,1,1990.25,0,1,1,0,0,0,17.0,0,0,0,1,171.0,0,0,1,0,0,0,1,0,0,0,0,0,1,1.42,2.67,4.15,0,0,14.44,1,1,1,1,1,1,1,1,1,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,28.75,1444.65,0,0,0,0,0,1,0,1,40.2,1840.45
17,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,712.1298000000007,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,19.75,495.75,1325.0,0,1,0,0,1,0,0,1,0,0,0,1,0,88.6,0,0,0,1,0,0,0,0,0,0,0,0,1,29.0,0,1,10.7,0,1,1,0,0,0,0,0,0,1,29.0,0,0.0,1,0,1,0,1,0,24.0,0,0,0,1,272.0100000000002,0,0,0,0,0,0,0,0,1,0,0,1,0,3.55,3.1801999999999957,34.8,1,1,24.061800000000037,1,1,0,0,0,0,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,45.25,3165.45,1,0,0,0,1,1,1,0,0.0,0.0
18,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,144.69,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,16.5,442.09,545.0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,30.0,0,1,4.8,0,0,0,0,0,0,1,0,0,0,4.0,0,0.0,1,1,1,0,0,0,16.0,0,0,0,0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,-0.09,3.45,0,0,0.91,1,1,0,0,0,0,1,1,1,0,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,33.0,1099.65,0,0,0,1,0,0,0,0,0.0,0.0
19,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,31.75,40.8195,350.0,0,1,0,0,1,0,1,0,0,0,0,0,1,10.8,0,0,0,1,1,1,0,0,0,0,0,0,0,23.0,0,0,15.2,0,1,0,1,0,0,0,1,0,0,10.0,1,341.75,0,1,0,0,0,0,22.0,0,0,0,0,22.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.99,0.98,7.3,1,0,2.65,0,1,0,0,1,1,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
20,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,240.38,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9.5,271.98,480.0,0,0,1,1,0,0,0,0,1,0,0,1,0,9.4,0,0,1,1,0,0,0,0,0,0,0,0,0,34.0,0,1,10.1,0,0,0,1,0,0,1,0,0,0,4.0,0,0.0,1,0,0,1,0,0,25.0,1,0,0,0,35.0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.42,0.83,11.2,0,0,2.3,1,1,0,1,1,1,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,1,0,0,0,1,0,0,0.0,0.0
